iana_id,name,domain_count,rdap_url,gateway_provider,rdap_service,category,duplicate,website,whois_server,status
112,Catalog.com,10918.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
1560,Genious Communications SARL/AU,8808.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
664,Web4Africa (Pty) Ltd,8675.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
3245,Arcanes Technologies,6281.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
2911,"Nakazawa Trading Co.,Ltd.",5921.0,rdap.rrpproxy.net,LogicBoxes,Key-Systems Gateway (rrpproxy.net),GATEWAY,228 Moniker Online Services LLC,,,
84,UK-2 Limited,5309.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,,,,
1749,Upperlink Limited,5209.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
965,Fluccs - The Australian Cloud Pty Ltd,4943.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
1500,Tirupati Domains and Hosting Pvt Ltd.,4552.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
889,"Domainclip Domains, Inc.",4418.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
1364,Kheweul.com SA,4253.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
1326,"Webair Internet Development, Inc.",3339.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
249,Mps Infotecnics Limited,3111.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
816,"0101 Internet, Inc.",2537.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
1508,TOGLODO S.A.,2390.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
836,The Namespace Group Pty Ltd,2381.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
835,KuwaitNET General Trading Co.,2276.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
987,"Imperial Registrations, Inc.",2094.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
1917,MainReg Inc.,1395.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
1661,"Domdrill.com, LLC",1186.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
1118,"Crystal Coal, LLC",1182.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
1492,NEEN S.p.A.,1171.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
935,"Commerce Island, LLC",1156.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
1085,"Click Registrar, LLC dba publicdomainregistry.com",1067.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
1083,"Curious Net, LLC",1065.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
961,"Rank USA, LLC",971.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
3804,Edomains LLC,970.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
939,"Desert Devil, LLC",958.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
1003,"Ekados, Inc., d/b/a groundregistry.com",851.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
3801,Buzinessware FZCO,739.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
3768,First Alliance Group Ltd T/A Netclues Inc,632.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
831,"Crisp Names, LLC",499.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
