iana_id,name,domain_count,rdap_url,gateway_provider,category,ipv4,ipv6,asn_v4_description
1576,DomainDelights LLC,23939.0,rdap.namebright.com,NameBright,DROPCATCH,,,
1574,DotNamed LLC,23841.0,rdap.namebright.com,NameBright,DROPCATCH,,,
1567,NameSay LLC,22989.0,rdap.namebright.com,NameBright,DROPCATCH,,,
1610,NamesHere LLC,21673.0,rdap.namebright.com,NameBright,DROPCATCH,,,
1503,PT Ardh Global Indonesia,21207.0,rdapserver.net,RDAP Server,,,,
1611,DomainGetter LLC,20845.0,rdap.namebright.com,NameBright,DROPCATCH,,,
1615,VisualNames LLC,20690.0,rdap.namebright.com,NameBright,DROPCATCH,,,
1617,PresidentialDomains LLC,20365.0,rdap.namebright.com,NameBright,DROPCATCH,,,
123,"The Registry at Info Avenue, LLC d/b/a Spirit Communications",19732.0,rdapserver.net,RDAP Server,,,,
1424,"Wingu Networks, S.A. de C.V.",19438.0,interplanet.rdap.tucows.com,Tucows,,64.99.62.53,,"TUCOWS, CA"
1614,DomainAhead LLC,19102.0,rdap.namebright.com,NameBright,DROPCATCH,,,
1613,AccentDomains LLC,18775.0,rdap.namebright.com,NameBright,DROPCATCH,,,
837,"Freeparking Domain Registrars, Inc.",18052.0,rdapserver.net,RDAP Server,,,,
938,WHC Online Solutions Inc.,16347.0,rdapserver.net,RDAP Server,,,,
1671,"MidWestDomains, LLC",14135.0,rdap.networksolutions.com,Network Solutions,DROPCATCH,,,
1342,Namevolcano.com LLC,14030.0,rdap.networksolutions.com,Network Solutions,DROPCATCH,,,
1219,Namecroc.com LLC,14026.0,rdap.networksolutions.com,Network Solutions,DROPCATCH,,,
2809,Blue Angel Domains LLC,14020.0,rdap.networksolutions.com,Network Solutions,DROPCATCH,,,
2848,Free Drop Zone LLC,13915.0,rdap.networksolutions.com,Network Solutions,DROPCATCH,,,
2830,Domaincatcher LLC,13893.0,rdap.networksolutions.com,Network Solutions,DROPCATCH,,,
2233,"Desert Sand Domains, LLC",13876.0,rdap.networksolutions.com,Network Solutions,DROPCATCH,,,
2847,Firstround Names LLC,13871.0,rdap.networksolutions.com,Network Solutions,DROPCATCH,,,
2808,Best Drop Names LLC,13768.0,rdap.networksolutions.com,Network Solutions,DROPCATCH,,,
2254,"Domain Name Root, LLC",13740.0,rdap.networksolutions.com,Network Solutions,DROPCATCH,,,
2866,Namecatch Zone LLC,13716.0,rdap.networksolutions.com,Network Solutions,DROPCATCH,,,
2896,Touchdown Domains LLC,13685.0,rdap.networksolutions.com,Network Solutions,DROPCATCH,,,
762,"NamePal.com #8024, LLC",13268.0,rdap.networksolutions.com,Network Solutions,DROPCATCH,,,
755,"Name Nelly, LLC",13259.0,rdap.networksolutions.com,Network Solutions,DROPCATCH,,,
1307,"SNAPNAMES 47, LLC",13255.0,rdap.networksolutions.com,Network Solutions,DROPCATCH,,,
1211,Godomaingo.com LLC,13238.0,rdap.networksolutions.com,Network Solutions,DROPCATCH,,,
1008,"SNAPNAMES 7, LLC",13205.0,rdap.networksolutions.com,Network Solutions,DROPCATCH,,,
1633,"NamePal.com #8027, LLC",13182.0,rdap.networksolutions.com,Network Solutions,DROPCATCH,,,
3800,Aegean Domains LLC,13172.0,rdap.networksolutions.com,Network Solutions,DROPCATCH,,,
1684,DomainPicking LLC,13131.0,rdap.namebright.com,NameBright,DROPCATCH,,,
1685,EchoDomain LLC,13109.0,rdap.namebright.com,NameBright,DROPCATCH,,,
1692,RegistrarDirect LLC,13057.0,rdap.namebright.com,NameBright,DROPCATCH,,,
1533,Good Domain Registry Pvt Ltd.,12978.0,rdapserver.net,RDAP Server,,,,
754,"Sssasss, LLC",12940.0,rdap.networksolutions.com,Network Solutions,DROPCATCH,,,
1683,DomainLadder LLC,12899.0,rdap.namebright.com,NameBright,DROPCATCH,,,
2906,Protocol Internet Technology Limited T/A Hosting Ireland,12851.0,rdapserver.net,RDAP Server,,,,
898,Alantron Inc.,12549.0,rdapserver.net,RDAP Server,,,,
1687,LiteDomains LLC,12367.0,rdap.namebright.com,NameBright,DROPCATCH,,,
1688,NameBake LLC,11586.0,rdap.namebright.com,NameBright,DROPCATCH,,,
1678,BlastDomains LLC,11470.0,rdap.namebright.com,NameBright,DROPCATCH,,,
1677,AcquiredNames LLC,11382.0,rdap.namebright.com,NameBright,DROPCATCH,,,
1728,IP Twins SAS,11340.0,rdap.rrpproxy.net,RRPProxy/CentralNic,GATEWAY,,,
1686,InsaneNames LLC,11287.0,rdap.namebright.com,NameBright,DROPCATCH,,,
3757,Digivity B.V.,11188.0,rdapserver.net,RDAP Server,,,,
1694,WhatIsYourDomain LLC,11148.0,rdap.namebright.com,NameBright,DROPCATCH,,,
1693,TotallyDomain LLC,11109.0,rdap.namebright.com,NameBright,DROPCATCH,,,
1679,BlockHost LLC,11060.0,rdap.namebright.com,NameBright,DROPCATCH,,,
112,Catalog.com,10918.0,rdapserver.net,RDAP Server,,,,
1695,AvidDomain LLC,10916.0,rdap.namebright.com,NameBright,DROPCATCH,,,
1689,NameChild LLC,10652.0,rdap.namebright.com,NameBright,DROPCATCH,,,
1690,NoticedDomains LLC,10645.0,rdap.namebright.com,NameBright,DROPCATCH,,,
748,"NamePal.com #8023, LLC",10330.0,rdap.networksolutions.com,Network Solutions,DROPCATCH,,,
1681,DomainCraze LLC,10321.0,rdap.namebright.com,NameBright,DROPCATCH,,,
1682,DomainCreek LLC,10126.0,rdap.namebright.com,NameBright,DROPCATCH,,,
1680,ComfyDomains LLC,9941.0,rdap.namebright.com,NameBright,DROPCATCH,,,
1691,ReclaimDomains LLC,9601.0,rdap.namebright.com,NameBright,DROPCATCH,,,
1560,Genious Communications SARL/AU,8808.0,rdapserver.net,RDAP Server,,,,
664,Web4Africa (Pty) Ltd,8675.0,rdapserver.net,RDAP Server,,,,
931,UdomainName.com LLC,8241.0,rdap.networksolutions.com,Network Solutions,DROPCATCH,,,
1583,Freeparking Limited,8155.0,opensrs.rdap.tucows.com,Tucows,,,,
1856,DropCatch.com 445 LLC,7665.0,rdap.namebright.com,NameBright,DROPCATCH,,,
1826,DropCatch.com 415 LLC,7461.0,rdap.namebright.com,NameBright,DROPCATCH,,,
1829,DropCatch.com 418 LLC,7257.0,rdap.namebright.com,NameBright,DROPCATCH,,,
1759,DropCatch.com 348 LLC,7137.0,rdap.namebright.com,NameBright,DROPCATCH,,,
1842,DropCatch.com 431 LLC,7125.0,rdap.namebright.com,NameBright,DROPCATCH,,,
1846,DropCatch.com 435 LLC,7008.0,rdap.namebright.com,NameBright,DROPCATCH,,,
1760,DropCatch.com 349 LLC,6779.0,rdap.namebright.com,NameBright,DROPCATCH,,,
1758,DropCatch.com 347 LLC,6727.0,rdap.namebright.com,NameBright,DROPCATCH,,,
1757,DropCatch.com 346 LLC,6689.0,rdap.namebright.com,NameBright,DROPCATCH,,,
1756,DropCatch.com 345 LLC,6564.0,rdap.namebright.com,NameBright,DROPCATCH,,,
